inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
KZGROEDUAFPSGN	InChI=1S/C14H23O4P/c1-13(2,3)10-7-8-12(18-19(15,16)17)11(9-10)14(4,5)6/h7-9H,1-6H3,(H2,15,16,17)	C14H23O4P	167	-3126.838326268281	(2,4-ditert-butylphenyl) phosphate	CC(C)(C)C1=CC=C(C(=C1)C(C)(C)C)OP(=O)(O)O	3.61199999	""	PubChem:(22712615 22988554)
YVEGYLIRSVTOJN	InChI=1S/C14H23O4P/c1-4-17-19(15,18-5-2)12-6-7-13-8-10-14(16-3)11-9-13/h8-11H,4-7,12H2,1-3H3	C14H23O4P	168	-3127.5329917252275	""	CCOP(=O)(CCCC1=CC=C(C=C1)OC)OCC	2.70799994	""	PubChem:(102044821)
XYKSPBKHNZGETQ	InChI=1S/C14H23O4P/c1-6-16-19(17-7-2)18-13-9-8-11(15)10-12(13)14(3,4)5/h8-10,15H,6-7H2,1-5H3	C14H23O4P	169	-3128.5946728154477	""	CCOP(OCC)OC1=CC=C(C=C1C(C)(C)C)O	3.67199993	""	PubChem:(69454174)
HMPCAPUPQCFQQX	InChI=1S/C14H23O4P/c1-4-10-17-19(18-11-5-2)14-9-7-6-8-13(14)16-12-15-3/h6-9H,4-5,10-12H2,1-3H3	C14H23O4P	170	-3128.817960968278	""	CCCOP(C1=C(C=CC=C1)OCOC)OCCC	3.06200004	""	PubChem:(71676155)
QVVKTRVTUDQHMD	InChI=1S/C14H23O4P/c1-10-6-7-12(15)11(8-10)13(2,3)9-14(4,5)19(16,17)18/h6-8,15H,9H2,1-5H3,(H2,16,17,18)	C14H23O4P	171	-3129.0978457111814	""	CC1=CC=C(C(=C1)C(C)(C)CC(C)(C)P(=O)(O)O)O	2.5480001	""	PubChem:(88685317)
FZTFUNQXMPKBSN	InChI=1S/C14H23O4P/c1-4-17-19(16,18-5-2)9-14-7-6-10(14)11-8-13(11,3)12(14)15/h6-7,10-12,15H,4-5,8-9H2,1-3H3	C14H23O4P	172	-3129.7207574441445	""	CCOP(=O)(CC12C=CC2C3CC3(C)C1O)OCC	1.12699997	""	PubChem:(123385890)
DYKJWIYHOLWGMV	InChI=1S/C14H23O4P/c1-11(2)17-19(15,18-12(3)4)10-13-8-6-7-9-14(13)16-5/h6-9,11-12H,10H2,1-5H3	C14H23O4P	173	-3130.89408631873	""	CC(C)OP(=O)(CC1=C(C=CC=C1)OC)OC(C)C	2.91199994	""	PubChem:(71601757)
HJHQEMIQXDZJNZ	InChI=1S/C14H23O4P/c1-6-17-19(15,18-7-2)12(4)13-8-11(3)9-14(10-13)16-5/h8-10,12H,6-7H2,1-5H3	C14H23O4P	174	-3131.278856429691	""	CCOP(=O)(C(C)C1=CC(=CC(=C1)OC)C)OCC	2.72199988	""	PubChem:(10803107)
ORTLNRQHHNRLHC	InChI=1S/C14H23O4P/c1-5-17-19(15,18-6-2)11-12(3)13-8-7-9-14(10-13)16-4/h7-10,12H,5-6,11H2,1-4H3	C14H23O4P	175	-3131.7973069043132	""	CCOP(=O)(CC(C)C1=CC=CC(=C1)OC)OCC	2.64299989	""	PubChem:(15429897)
WXSHRMQLNNUCOH	InChI=1S/C14H25O5P/c1-4-7-10-16-11-13-8-9-14(19-13)12-20(15,17-5-2)18-6-3/h8-9H,4-7,10-12H2,1-3H3	C14H25O5P	176	-3133.9863229256007	2-(butoxymethyl)-5-(diethoxyphosphorylmethyl)furan	CCCCOCC1=CC=C(CP(=O)(OCC)OCC)O1	1.84200001	""	PubChem:(1919074)
BECCDNWAWJBUPQ	InChI=1S/C14H23O4P/c1-5-17-19(15,18-6-2)11-16-14-9-7-13(8-10-14)12(3)4/h7-10,12H,5-6,11H2,1-4H3	C14H23O4P	177	-3134.550974729648	1-(diethoxyphosphorylmethoxy)-4-propan-2-ylbenzene	CCOP(=O)(COC1=CC=C(C=C1)C(C)C)OCC	3.34100008	""	PubChem:(59132008)
KSFOCUHBDDXOBV	InChI=1S/C14H23O4P/c1-3-17-19(15,18-4-2)13-9-14(16-10-13)8-11-5-6-12(14)7-11/h9,11-12H,3-8,10H2,1-2H3	C14H23O4P	178	-3135.980135038372	3-diethoxyphosphorylspiro[2H-furan-5,3''-bicyclo[2.2.1]heptane]	CCOP(=O)(C1=CC2(CC3CCC2C3)OC1)OCC	1.57500005	""	PubChem:(21669133)
WTWOEZBBIKFWDA	InChI=1S/C14H23O4P/c1-11-7-8-12(14(2,3)4)13(9-11)18-10-19(15,16-5)17-6/h7-9H,10H2,1-6H3	C14H23O4P	179	-3136.9527326488874	1-tert-butyl-2-(dimethoxyphosphorylmethoxy)-4-methylbenzene	CC1=CC=C(C(=C1)OCP(=O)(OC)OC)C(C)(C)C	3.1329999	""	PubChem:(11778735)
