inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
RHVGESLMSWSCMM	InChI=1S/C15H22O3/c1-9(7-15(16)17)6-13-10(2)8-14(18-5)12(4)11(13)3/h8-9H,6-7H2,1-5H3,(H,16,17)	C15H22O3	1768	-3092.6080858927694	""	CC(CC1=C(C)C=C(C(=C1C)C)OC)CC(=O)O	3.71000004	""	PubChem:(116926809)
TXRHFWSONVDPQX	InChI=1S/C15H22O3/c1-8-12(16)5-11-10(13(17)18)4-9-6-14(2,3)7-15(8,9)11/h4,8,10-12,16H,5-7H2,1-3H3,(H,17,18)	C15H22O3	1769	-3092.654983845824	""	CC1C(CC2C(C=C3CC(C)(C)CC132)C(=O)O)O	2.23399997	""	KEGG Mine
XDQKMSNSWAMHMY	InChI=1S/C15H22O3/c1-15(2,3)12(14(16)18-5)13(17-4)11-9-7-6-8-10-11/h6-10,12-13H,1-5H3	C15H22O3	1770	-3092.699310607272	""	CC(C)(C)C(C(C1=CC=CC=C1)OC)C(=O)OC	3.67000008	""	PubChem:(10538647 10658335)
ORNPCTZINWQHHX	InChI=1S/C15H24O4/c1-18-13(16)8-4-7-11-15(12-14(17)19-2)9-5-3-6-10-15/h5,9H,3-4,6-8,10-12H2,1-2H3	C15H24O4	1771	-3092.7171008210885	methyl 5-[(1S)-1-(2-methoxy-2-oxoethyl)cyclohex-2-en-1-yl]pentanoate	COC(=O)CCCCC1(C=CCCC1)CC(=O)OC	3.55299997	""	PubChem:(58687896)
ATLKLFWIQWXHRA	InChI=1S/C15H22O3/c1-5-12(15(16)17)13-7-6-11(8-10(2)3)9-14(13)18-4/h6-7,9-10,12H,5,8H2,1-4H3,(H,16,17)	C15H22O3	1772	-3092.7416921337117	""	CCC(C1=CC=C(CC(C)C)C=C1OC)C(=O)O	4.125	""	PubChem:(53661329)
DKSCKMIGVXENSI	InChI=1S/C15H24O4/c1-4-8-12(11-9-6-5-7-10-11)13(14(16)18-2)15(17)19-3/h4,11-13H,1,5-10H2,2-3H3	C15H24O4	1773	-3092.8041733828245	""	C=CCC(C1CCCCC1)C(C(=O)OC)C(=O)OC	4.8499999	""	PubChem:(53307057)
DVVXUYJKWWVTGW	InChI=1S/C15H24O4/c1-4-14-15(18-14,19-14)10-13(2,12(16)17-3)11-8-6-5-7-9-11/h11H,4-10H2,1-3H3	C15H24O4	1774	-3092.8073520099124	""	CCC12C(CC(C)(C3CCCCC3)C(=O)OC)(O1)O2	3.68400002	""	PubChem:(87505401)
WFZDOIDSYIILLH	InChI=1S/C15H22O3/c1-14(2,3)17-12-10-8-7-9-11(12)13(16)18-15(4,5)6/h7-10H,1-6H3	C15H22O3	1775	-3092.8087058426363	tert-butyl 2-[(2-methylpropan-2-yl)oxy]benzoate	CC(C)(C)OC1=C(C=CC=C1)C(=O)OC(C)(C)C	5.02699995	""	PubChem:(15577828)
TWCXGCIRJCXSQZ	InChI=1S/C15H22O3/c1-6-11(15(16)17)13-8-12(9(2)3)14(18-5)7-10(13)4/h7-9,11H,6H2,1-5H3,(H,16,17)	C15H22O3	1776	-3092.83345127476	""	CCC(C1=C(C)C=C(C(=C1)C(C)C)OC)C(=O)O	3.77800012	""	PubChem:(116964047)
KZFDTEQVQOBJPJ	InChI=1S/C15H22O3/c1-11-7-8-13(16)12(10-11)15(2,3)9-5-6-14(17)18-4/h7-8,10,16H,5-6,9H2,1-4H3	C15H22O3	1777	-3092.8559414994133	methyl 5-(2-hydroxy-5-methylphenyl)-5-methylhexanoate	CC1=CC=C(C(=C1)C(C)(C)CCCC(=O)OC)O	3.81299996	""	PubChem:(19782818)
FIDMUPUIGHZDRS	InChI=1S/C15H22O3/c1-11-6-7-12(15(2,3)4)13(10-11)18-9-8-14(16)17-5/h6-7,10H,8-9H2,1-5H3	C15H22O3	1778	-3092.877866691954	""	CC1=CC=C(C(=C1)OCCC(=O)OC)C(C)(C)C	3.84100008	""	PubChem:(29012975)
