inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
WDDNJXRLVRIYGZ	InChI=1S/C11H21NO5/c1-3-16-6-7-17-8-10(13)12-9(2)4-5-11(14)15/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	40	-178.72504504468904	""	CCOCCOCC(=NC(C)CCC(=O)O)O	0.26699999	""	PubChem:(120237664)
ZMPHLOLXNONYEE	InChI=1S/C11H23NO6/c12-4-2-1-3-5-17-10-9(15)8(14)7(6-13)18-11(10)16/h7-11,13-16H,1-6,12H2	C11H23NO6	41	-179.33324059717137	""	C(CCN)CCOC1C(C(C(CO)OC1O)O)O	-1.73800004	""	PubChem:(70224849)
NNWXXHGRVJAKBO	InChI=1S/C11H21NO5/c1-4-9(11(14)15)12-10(13)8(3)17-7-6-16-5-2/h8-9H,4-7H2,1-3H3,(H,12,13)(H,14,15)	C11H21NO5	42	-179.7619719622081	""	CCC(C(=O)O)N=C(C(C)OCCOCC)O	0.397000015	""	PubChem:(119224221)
BXVNPULCTPUYBF	InChI=1S/C11H21NO5/c1-3-16-11(17-4-2)8-12-9(13)6-5-7-10(14)15/h11H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	43	-179.83980637163228	""	CCOC(CN=C(CCCC(=O)O)O)OCC	0.495999992	""	PubChem:(79548297)
YFYFXVIOBHLXHP	InChI=1S/C11H21NO5/c1-16-7-3-5-9(11(14)15)12-10(13)6-4-8-17-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	44	-179.9335324283183	""	COCCCC(C(=O)O)N=C(CCCOC)O	-0.101000004	""	PubChem:(81076504)
AGBAQBASPJWXNS	InChI=1S/C11H25NO7/c1-12(9(17)3-2-4-13)5-7(15)10(18)11(19)8(16)6-14/h7-11,13-19H,2-6H2,1H3	C11H25NO7	45	-180.32124337148926	""	CN(CC(C(C(C(CO)O)O)O)O)C(CCCO)O	-3.86199999	""	PubChem:(88426144)
SODZTLCIQDVDSG	InChI=1S/C11H21NO5/c1-8(17-10(3)15)4-5-16-7-11(6-13)12-9(2)14/h8,11,13H,4-7H2,1-3H3,(H,12,14)	C11H21NO5	46	-180.57859350839556	""	CC(CCOCC(CO)N=C(C)O)OC(=O)C	0.180999994	""	PubChem:(88934448)
FIHLKPKAQNGMPA	InChI=1S/C11H21NO5/c1-3-16-11(17-4-2)7-8-12-9(13)5-6-10(14)15/h11H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	47	-180.64437243113363	Butanoic acid, 4-[(3,3-diethoxypropyl)amino]-4-oxo-	CCOC(CCN=C(CCC(=O)O)O)OCC	0.495999992	""	PubChem:(71403282)
BOZYYYJYAMZQQU	InChI=1S/C11H21NO5/c1-3-15-5-6-17-10(7-9(13)8-12)11(14)16-4-2/h10H,3-8,12H2,1-2H3	C11H21NO5	48	-181.0559794702597	""	CCOCCOC(CC(=O)CN)C(=O)OCC	-0.816999972	""	PubChem:(87926408)
SBBCJGVIYCQPQE	InChI=1S/C10H22N3O2P/c1-6-14-16(15-9-7-8-11)10(12(2)3)13(4)5/h10H,6-7,9H2,1-5H3	C10H22N3O2P	49	-181.13037201279073	""	CCOP(C(N(C)C)N(C)C)OCCC#N	-0.284000009	""	PubChem:(88572209)
